clean_textdisplay,predicted_sentiment,confidence_score
begini lah klo orng yg sok tau di bidang sistem kelistrikan dan electronicabrperbengkelan mobilbritu tumpuan paling tinggi di cara kerja mekanic dan rumus electrobrsprti pembaca strum voltamppereacdctegangankumparan dllbritu orang di suruh benerin tipe mobil aja binggung kalibrpaling di oper ke teknisi elektrobrbrkembali membahas limbah bateraybrapakah mereka tau klo aki mobil bekas atau aki mobil soak laku di pengepullapakbrlalu apakah akibateray tidak bisa di daur ulangklo limbah aja nya aja lakubrjdi menurut ku wawasan mereka kurang luasbrbryaris tidak butuh tanah ajaibbrbesi databg dri mana bosbrbesi berasal dri tanah langkabremang besi datang dri silikatbrudah nyentuh ke kimia fisika ni orangbrbryakin kah mobil bensin lebih ramah lingkungan dri evbrklo bukan pakar nya mendung jngn sok tau si menurut kubrilmuan yg denger cuman bisa ketawa sprti nyabrgak usah bicara soal polusi karbo nyabrbicara pembuatan nya aja dulubr mobil bensin itu masi pake cara kerja konvensionalbrsedangkan electric vehicle itu sudah di atas tidak mengunakan cara kerja konvensionalbrklo punya otak pikir sendiri ajabrmemang buat mobil cuman ratusan hingga ribuan untuk dunia inibrini lah efek kebanyakan pegang kopling mobilbrke banyakan membual hanya untuk kepentingan keuangan nya sendiribryg penti istrianakkeluarga bisa cepet mati juga gak apa asal dapet duitbrbrbrbrhirup aj tu karbondioksida nya,positive,0.9966139
beli atau punya mobil yg mobil pertama yaitu mobil hybrid dan mobil ke electric vehicle aman lah skrg mobil mobil hybrid bnyk yg tdk mahal amat kok,negative,0.9281568
benar jg sih pom bensin yg udh bnyk dimana masih antri panjang di jam sibuk kalo ngantri charging mobil listrik gk kebayang untuk saat ini,positive,0.99552506
benar saya pro electric vehicle karena menolak dikerjain sama bahlul dipaksa beli bahan bakar minyak busuk dengan alasan nasionalisme,positive,0.99833626
berarti benar apa yang pernah bossdarling bilang tentang mobil listrik dan baru sekarang banyak yang percaya bahwa mobil listrik tidak ramah lingkungan brterus dulu pada kemana kok baru sekarang sadar,positive,0.99609756
betul dokter mobil yg ceritakan ku pake mobil listrik hny karena hemat jadi tdk pernah justifikasi ramah lingkungan karena problem nya di tambang bahan pembuatannya,negative,0.9270157
biaya perbaikan mobil electric vehicle masih lebih gak ngotak daripada mobil bensin mesin mobil electric vehicle kalo mau swap ke mobil yg lain jelas tidak bisabrbrkalo mobil bensin dan sejenisnya kalau swap mesin ke mobil yg lain atau modifikasi masih bisa di otak atik secara aman,positive,0.7894645
bicara mobil listrik vs internal combustion jujur lebih prefer internal combustion karena mesin nya masih bisa di daur ulang dan di casting lagi jadi mesin lagi atau benda lain lah klo baterai gabisa di recycle,neutral,0.7299464
big data dan demand market fakta angka yg berbicara lu ngebacot gede sono sini klo demand mobil listrik kecil yaa mau gmna rugi syukurinn lu sembahquot dah tuh mobil listrik cina,positive,0.99917597
br justru karena dr mobil itu mekanik dia paham akan kebutuhan masyarakat umum sehingga masyarakat tau mana mobil hobi mana mobil dengan embel hemat dia tidak punya kepentingan untuk jelekin atau bagusin electric vehicle vehicle tddak seperti influencer otomotif br hampir rata merek mobil luxury tidak berfokus pada electric vehicle karena buyer di kelas mereka tidak suka dgn electric vehicle mereka suka dgn mobil ice karena lebih ada seni amp kelasnya mereka menikmati raungan dari mesin langkah yg diambil porsche gaada impactnya ke userbuyer diluar segmentasi pasarnyabr tesla salah satu pencetus electric vehicle vehicle tpi harus di ingat semakin banyak electric vehicle keluar baik itu dari usa chine dsb masyarakatkonsumen paham bahwa electric vehicle car tidak untuk ramah lingkungan tidak untuk menghemat maintenance amp aftermarket price yg jeblokbr electric vehicle car untuk green energi hanya ilusi sementara karena baterainya tetap dari hasil tambang amp untuk maintenancenya ketika baterai itu drop secara kalkulasi hampir sama dengan mobil ice bahkan sampe ke afterpricenyabr cycle electric vehicle car ga di desain untuk digunakan tahun ke atasbr untuk keamanan pernah liat berita ceo big company yg tewas dengan electric vehicle car nya karena electric vehicle car nya tiba out of control di hack,negative,0.5266899
brmakanya belajar sejarah brteknologi baghdad baterai dikembangkan tahun berapa brlistrik dikembangkan tahun berapa mobil listrik dikembangkan tahun berapa brjauh sebelum ford motor memproduksi model t brlalu mengapa pemerintahan dunia malah lebih mengutamakan mobil bensin brkarena perusahaan minyak bayar kepada pemerintah agar kebijakan negara memprioritaskan infrastruktur untuk mobil bensin hasilnya polusi udara di perkotaan yang mengakibatkan berbagai penyakit terhadap masyarakat kota,positive,0.9476232
bro tim lw coba di fact check dlu deh narasumbernyabrkg lithium untuk electric vehicle baterai electric vehicle cuma jadi landfill ga bisa direcycle,neutral,0.9589088
buat sekarang minimal ad mobil mesin conventional buat mobil pertama mobil listrik buat mobil ke klo buat mobil pertama si lum recommend jd yg wa tanggap belum buat sekarang klo nnt ud ad kejelasan harga baterai keamanan dll br bole jd mobil pertama,negative,0.7280771
bukan mainn ada yang punya dokter mobil juga koh lung lung riset mobil listrik sampai ke luar negeri juga tuh dia masih belum suka mobil listrik kalo mobil hybrid dia udah punya innova zenix,positive,0.7978479
buset gilakk makin banyak aja ini buzzer mobil listrik di kolom komen bjir ga paham lagi gua bumi udah perlahanlahan diancurin gini masih aja pada nipu dan omong kosong ternaknya bahlil dan luhut kali yak mereka semua,positive,0.99952257
catatan penting kalo dibilang hidrogen masa depan perlu diketahui di dalam mobil hidrogen pun sama aja ada baterainya jadi jangan counter mobil electric vehicle tentang bahaya tambang kl di hidrogen car pun pake baterai,neutral,0.98865765
ciri montir taon an yang kaget akan perubahan teknologi mobil di masa depan otomatis cuma tau segelintir informasi saja kerusakan alam lah bla bla bla padahal teknologi litihum udah ada dari tahun terakhir kemane aja ente tong brbrkedepannya itu semua sistem mesin ice udah mulai di tinggalkan karena teknologi terus maju dan canggih apalagi sektor baterai terbaru sekarang baterai elektrolit padat hydrogen fuel cell eolian power motor semua akan terintegrasi melalui sistem iot dan kedepannya akan menjadi autonomusbrbrmontir jadul yg nyangkut di mesin ice bensin diesel bakal makin pusing belajar materi baru alias ketinggalan jamanbrbrnara sumber di atas menurut saya masih kurang compatible dan informasinya tidak valid untuk ngomongin masa depan mobil electric vehicle dan sejenisnya brbrsalam waras,positive,0.99773407
coba anda tanya ke warga konawe atau maluku selatan trus bilang mobil listrik ramah lingkungan gak ada yang percaya agar menghasilkan udara bersih di kota besar yang memakai mobil listrik harga yang harus dibayar lingkungan dekat pertambangan rusak parah yang artinya orang kampung juga yang jadi korban,positive,0.9982951
cuma mau bilang mari luangkan waktu sejenak untum minimal tanya sama ai quotapakah dampak kerusakan lingkungan yang ditimbulkan dari sebuah mobil listrik lebih besar dari pada mobil icequot dan mari kita diskusikan bersama,neutral,0.8410563
cuma pingin dengar teori asbun soal mobil listrikbrbtw venezuela stock vosil energi terbesar dunia sekarang udah di invasi sama usbrdan tau depan bahan bakar minyak naikbrselamat ya buat para agen mobil jepangbrkalian menyumbang devisit anggaran karna bantuan pemerintah bahan bakar minyak membengkakbrini kan yg kalian mau,positive,0.3479783
dan kebanyakan user electric vehicle kalo mau perawatancek berkala itu pasti di bengkel resmi bukan bengkel umum,neutral,0.9702757
dari dulu sampai sekarang abad lamanya indondesa dijajah finansial secara halus mulai pajak kendaraan mobil muahal termahal di dunia dan dampaknya koruptor trtinggi didunia urutan dari wkwkwkudah rakyat disuruh bayar pajak mobil katakanlah jtitu keringat kita bro kkerja dibanting bantingnyawa udah skandal beli mobil tapi nyediain biaya buat spre part dan biaya maintenance lainyaacapek iya kantong masyarakat indonesia dikuras habis nga terasa bansaihidup penjajah mending smaa sama fifty fifty gambling jangka panjang jangka proses mending lebih hematan mobil listrik lahorang normal,positive,0.99937123
dari jurnal manapun tetap gw baca electric vehicle itu jauh lebih ramah lingkungan daripada ice walaupun dihitung dari pembuatan baterai hingga charging pakai listrik yang berasal dari batubara dokter mobil ini memang anti electric vehicle mobil hydrogen itu masih jauh dan belom feasible,positive,0.88395935
dari jurnal manapun tetap gw baca electric vehicle itu jauh lebih ramah lingkungan daripada ice walaupun dihitung dari pembuatan baterai hingga charging pakai listrik yang berasal dari batubara dokter mobil ini memang anti electric vehicle mobil hydrogen itu masih jauh dan belom feasible,positive,0.88395935
dari podcast ini terlihat fitra mobi dkk promosi mobil listrik itu bullshit amp mereka dibayar untuk meningkatkan citra positif dari electric vehicle vehicle,neutral,0.87737894
dengan segala hormatbrbranda memang bengkel mobil ice tp jangan semua di underestimate kanbrbrdari destinator pake turbo watercooled intercoolant pendinginnya dianggap juga kurang bagusmitsubishi diserangbrskrg mobil listrik yg seluruh dunia sudah kembangkan anda seorang yang menentang nya bahaya dll jangan merusak image mobil listrik mereka bereksperimen puluhan tahun untuk menguransi polusi bahan bakar minyak fosil dll maka dapat listrik anda dengan mudah mencemooh nyabrbuka pola pikir lebih terbukabrbruda yakin survey nya brmohon tingkat ke sotoy an nya dikurangi,positive,0.99743855
dengan segala kerumitan masalah bahan bakar minyak di negara ini maka mobil listrik jd pilihan tepat buat sayasatu electric vehicle dan satu plug in hybrid electric vehicle skrng ke pom bisa bulan sekali saja masalah polusi teratasi diarea rumahga bau asap,negative,0.9740132
dengan segala kerumitan masalah bahan bakar minyak di negara ini maka mobil listrik jd pilihan tepat buat sayasatu electric vehicle dan satu plug in hybrid electric vehicle skrng ke pom bisa bulan sekali saja masalah polusi teratasi diarea rumahga bau asap,negative,0.9740132
di point satu masnya bilang yes electric vehicle lebih tidak berpolusi daripada mobil bensin nah sekarang saya tanya yes or no listrik untuk ngecarge mobil electric vehicle pakai batubara yang polusinya lebih parah daripada bensin kenapa lari ke hidrogen,positive,0.9962431
di point satu masnya bilang yes electric vehicle lebih tidak berpolusi daripada mobil bensin nah sekarang saya tanya yes or no listrik untuk ngecarge mobil electric vehicle pakai batubara yang polusinya lebih parah daripada bensin kenapa lari ke hidrogen,positive,0.9962431
dipikir kebelakang belakangnya electric vehicle dari pembuatan baterai pkk mesin diesel belum ngeruknya memang tidak ramah lingkungan dan memang bener hidrogen car beneran ramah lingkungan,negative,0.786285
dokter mobil kan basicnya mekanik mesin mobil otomatis jelas membela mobil bensinkarena klo mobil semua berubah jadi listrik mereka akan kehilangan job atau keahlian mereka jd tidak relevan lagi karena pada beralih ke listrik,positive,0.9936458
dokter mobil konsisten anti mobil listrik ya wajar aja sih kalo semua pake mobil listrik bengkel doi sepi cuy brlebih percaya opininya fitra eri tentang mobil listrik doi sangat independen karena tidak ada konflik kepentingan dan yg jelas doi tidak punya bengkel,negative,0.98012483
efisiensi listrik hidrogen bensin energi bersih solar panel turbin angin nuklir semua menghasilkan listrik bersih semakin murah setiap tahunnyarata turun tahun jadi ambil kesimpulan sendiri masa depan mana yg jadi pilihan,neutral,0.97242343
entah ini sengaja dilebihlebihkan atau gimana kg baterai listrik itu bukan lithium tapi cuma lifepo dari kg itupun bobot sel aktif baterai masih dibawah lebih banyak bobot struktur casing pendingin dan bms,positive,0.8439396
electric vehicle batterey raw materialbrice bahan bakar minyak fosilbrhybrid batterey fossilbrhydrogen muahalbrapa daya cuma bisa liat pengulas mobil,neutral,0.9605656
electric vehicle bisa bikin mengisi daya di rumah udah banyak yg nyambung di rumah kalau ngisi tinggal tidur,neutral,0.98725396
electric vehicle china agak kurang yah mereka murah krn ga bayar pajak aja skrg,positive,0.9861718
electric vehicle gamungkin menguasai pasar indo apalagi dgn infrastruktur electric vehicle yg masi kurang pilihan terbaik utk market indo ya cuma mobil hybrid,negative,0.7264868
electric vehicle itu brgorengannya youtuber otomotif serangkai,neutral,0.997168
electric vehicle lebih ramah lingkungan sangat energi efisiensi distribusinya juga sangat efisiensi suku cadangelectric vehicle lebih sedikit jadi potensi lebih murah sangat terbuka,negative,0.997143
electric vehicle memang butuh baterai emisi produksi tapi setelah km sudah balik modal amp total emisi lebih rendah dari mobil bensin epa mit mobil bensin setiap hari ngebul nox pm g cokm seumur hidup brev nol knalpot baterai daur ulang makin hijau tiap tahun penambangan lithiumkobalt memang kotor air limbah deforestasi tapi mobil bensin butuh x lebih banyak minyak seumur hidup bor sumur tumpah minyak perang minyak brev butuh x tambang baterai daur ulang redwood materials licycle brindonesia punya nikel terbesar dunia smelter lokal electric vehicle devisa amp lapangan kerja bukan impor bensin br brtambang kotor ada di duaduanya tapi electric vehicle bisa diperbaiki bensin kiamat tiap hari brbr electric vehicle butuh kg lithium kg nikel kg kobalt sekali tambang seumur hidup iea mobil bensin butuh liter bensin kg minyak mentah setiap tahun sekali tambang ulang usgs brkobalt turun dalam tahun baterai lfp byd tesla kobalt bloombergnef brdaur ulang baterai lithium nikelkobalt redwood materials licycle brtesla baterai model daur ulang di gigafactory nevada brindonesia morowali amp weda bay nikel baterai grade smelter lokal mulai br limbah minyak bensin tumpah di laut tiap tahun deepwater horizon sejak itopf brlimbah baterai electric vehicle ke tpa sisanya jadi baterai baru br hati banyak yang gak suka indonesia berkembang tahu sendiri lah produsen mobil yang gak mau ada saingan di indonesiabrtambahan skg udah ada pengisian km cm menit sperti mobil chery voltdragon charger,positive,0.88742054
ga bisa di compare keduanya beda perspective dan masing ada benarnya perspective om fitra eri sebagai pengulas mobil dokter mobil ambil perspective sebagai teknisi bengkel dari segi repairability amp sustainabilitybrbrbahkan sekelas fitra eri kayaknya saya belum pernah lihat bahas detail sampai asal muasal baterai mobil electric vehicle dampak penambangan mineral nya dan dampak limbah baterai bekas nya,positive,0.83939785
gak juga banyak orang yang udah ngendarain electric vehicle pada gak suka kalo elu petrol head semenjak lama sensasi berkendara mobil ice lebih disukai,negative,0.6508096
gk nyambung lah yg di mobil ice itu baterai nya kan bukan jadi penyimpan tenaga motor listrik sedangkan mobil hidrogen hybrid baterai dijadiin tenaga buat penggerak,neutral,0.98346967
gua tinggal di china dan rata rata mobil listrik udara di sini yg gua rasain lebih segar mungkin karena tidak terlalu polusi tapi memang untuk membuat mobil listrik ada yg di korbankan kita liat aja ke depan apakah mobil hidrogen bisa mengalahkan electric vehicle,positive,0.86320126
hanya orang bodoh yang ribut masalah mobil listrik dan bensin lebih baik ribut bagaimana cara memperbanyak tranportasi umum dan mengurangi kendaraan pribadi bikin narasi di satu sisi doang mereka cuma ikut jual produk masingmasing kalau memang pro lingkungan stop kendaraan pribadi utamakan perbanyak tranportasi umum gini amat hidup di indonesia banyak orang pintar bicara pintar bikin narasi tapi isinya sama saja tidak mengurangi dampak lingkungan,positive,0.99865425
harus denger jg dr narasumber yg pro mobil listrik biar adil amp jgn lupa narasumber di video ini punya usaha dibidang otomotif jg jd rasanya agak kurang netral aja apa benar omongan mereka gak ada pengaruh atau quotmengamankanquot bisnis si narasumber,positive,0.97878265
harusnya efisiensinya yang bagus itu artinya yang hilang tapi kenyataannya source energi buat produksi listrik untuk elektrolisis juga pasti dibawah kemudian ketika hidrogen di pakai untuk menjalankan diubah jadi energi kinetik juga berkurang mungkin akhirnya di kisaran sekitar braku prediksi sih jepang itu failing country talent terlalu dikit juga sebelum merubah culture perusahaannya akan susah jadi relevan di future setidaknya satu dekade depan,positive,0.9955605
harusnya presiden dan pejabat yang amanah harus dengerin podcast ini atw yg sejenisnya dari narsum yg paham lapanganbrstop electric vehicle carbike akan jadi slogan yg penting dimasa depan,negative,0.9734805
he dokter mobil kl gak suka sama mobil electric vehicle gak usah banyak bacot semua videomu slalu menjelekan mobil electric vehicle karna kl electric vehicle pada masanya bengkelmu gak bakalan laku cuma itu ketakutanmu,positive,0.9991677
hidrogen mahaluntuk menghasilkan hidrogen mesti pakai listrikkayak kita kemana bawa bomklo tabrakan bisa meledakada kelebihan d kekurangan,positive,0.948917
hidrogen yg sekarang masih banyak di ekstrak dari bahan non air bisa dari batu bara juga kalau gk salah ada lho pabrik daur ulang baterai seperti nya narasumber lebih ke menyudutkan mobil listrik deh tidak berimbang datanya,positive,0.9977842
ini battery electric vehicle memang terkesan tidak ramah lingkungan tetapi masih sangat potensial jadi lebih ramah lingkungan justru yang salah bukan battery electric vehicle melainkan regulasi yang belum mengharuskan daur ulang baterai serta belum mengharuskan pln sumber listrik terbarukan nah orang sudah terlanjur termakan penggiringan opini influencer seperti mereka dokter mobil dengan menyalahkan bevnya padahal yang salah adalah regulasinya sama halnya saat ini kita sedang menyalahkan menteri bahlil yang bikin regulasi wajib etanol bukan menyalahkan ice kendaraan tua maupun ice yang tidak support etanol dong yang salah tetep regulasi etanol bukan kendaraannya yang salah tetep regulasi pln yang masih pakai batu bara dan baterai yang tidak daur ulang bukan kendaraannyabrbrjadi tetep tidak ada yang salah dengan campaign bahwa battery electric vehicle itu ramah lingkungan dokter mobil pantas dihujat,positive,0.99808276
ini lelucon para badut pembenci perubahanbrhay brkita breakdown semuanya yahbr tambang ton tanah hanya menghasilkan kilo lithiumbrbeneran mantan orang tambang kah lu ton itu diurai dan di petakan kandungannya bisa bermacam hasil nya contoh logam bauksit cobalt dan lain termasuk lithium itu sendiri jadi jangan di telan mentah omongan menjurus mematahkan perubahan teknologi hasil tambang tidak setolol itu hanya mencari jenis mineralbr baterai lithium rusak lalu dibuang dan harus beli barubrbukankah dia sendiri bilang didalam baterai ada lithium yang susah cari nya dan mahalbrlogika orang cerdas pasti menolak pernyataan ini dan search di google mengenai daur ulang baterai anda cerdas atau kepala cadas lakukan riset anda mengenai daur ulang baterai lithium termasuk yg sedang anda pegang dalam hp anda br polusi atau kerusakan lingkungan akibat tambangbrhoii tambang tidak akan mengurangi aktifitas dan bahkan akan cenderung meningkatkan produktivitas menambang mereka walaupun lithium tidak dibutuhkan kenapa karena penambang mencari banyak jenis mineral masa iya menemukan perak dalam tambang kemudian tidak mau menemukan emasbrjangan tolol dahbr polusi udara akibat pembangkit listrik menggunakan batubarabrini butuh kejujuran hati anda masingbrsiapa yang rumahnya masih butuh listrik untuk lampu komputer tv mesin cuci kulkas dan charger hpbrkalau anda masih butuh berarti sadarlah kalau barang yg pakai listrik di tambah mobil electric vehicle bakal tidak banyak merubah pln untuk menggunakan batubarabrjadi ya benar mobil listrik akan membuat lingkungan lebih bebas polusibrmobil mesin bensin solar pake di sebut pake nama keren ice hanya karena mereka berdua belum rela melepaskan bisnis mereka bakal sepibrkenapa kalo anda menyadari ini dan semua mulai beralih ke mobil listrik harga baterai dan mobil listrik akan semakin murah karena produksi bisa meningkat sesuai permintaan mobil bensin dan mesin diesel jelas menabur asap kemana akan semakin dihindaribrbrsatu pembangkit listrik di satu area vs ratusan juta kendaraan diseluruh pelosok areabrsiapa yg lebih bikin polusibrhayyoo jawab dengan kepala dingin dan yang jujur pada diri anda sendiri aja,positive,0.9984523
ini si dokter mobil terlalu tidak suka battery electric vehicle sehingga tidak fair membandingkan antara battery electric vehicle dengan icebrbrkatanya battery electric vehicle lebih polusi daripada ice terutama produksi baterainya lalu katanya pasti ganti baterai minimal tiap tahun sekali setelah itu baterai jadi limbah selain itu juga ada polusi batu bara untuk menghasilkan listrik pln masalahnya cuma itu doang sumber polusi yang dibahasbrbrpadahal di kendaraan ice nambang minyak itu polusi kilang minyak juga polusi distribusi minyak juga polusi minyaknya tidak cuma bahan bakar minyak tapi juga oli konsumsi bbmnya tiap hari sedangkan konsumsi olinya tiap bulan sekali belum lagi nambang biji besi belum lagi pecinta asap knalpot cumi belum lagi saat macetmacetan juga ngumpulin polusi kalau terjadi hujan beracun yang salah siapabrbrmereka justru menjagokan kendaraan hidrogen sebagai kendaraan non polusi padahal saya dapat info bahwa produksi hidrogen dari gas alam metana pasti melepaskan banyak sekali cobrbrkelihatan banget tuh si dokter mobil sebenarnya kurang literasi tapi sotoy,positive,0.9991335
inilah fatamorgananya electric vehicle jangan fokus ke quottidak ramah lingkunganquot karena akan ada sejuta alasan untuk mengklarifikasinyabrtapi perhatikan potensi korupsi mega proyeknya,positive,0.9983006
inti nya yg punya bengkel tkut ga laku yg mkirin rugi nya mobil listrik duitnya masih blom siap untuk terima rugi nya,positive,0.99871826
intinya beli mobil listrik di indo jgan sampai di atas juta kalau an pakai aja sampai semaksimal mungkin baru gak rugi bgt,negative,0.94290423
intinya jika kalian membeli mobil listrik berati kalian juga ikut merusak sebagian lingkungan milik orang lain,positive,0.99602246
intinya mas rata warga indonesia belum percaya sm brand cina dan masih percaya sm brand japan trus belum siap pake electric vehicle,positive,0.99771464
hemat nya kendaraan listrik,negative,0.9834995
itulah pentingnya ilmu pengetahuan anak teknik pasti tahu mana yg lebih bagus dan ini sdah saya pelajari dr tahun bnyak yg ngerasa mobil listrik ramah lingkungan padahal cuma mindahin polusi dari mobil lu ke pembangkit listrik dan pembangkit listrik di konoha di dominasi dr batu bara,negative,0.827932
iya aku juga yang kadang baca berita tentang mobil listrik sama mobil ice mobil ice jelas lebih polusi ketimbang listrik tapi disini kok seakan akan listrik lebih buruk dan polusi ya apa guanya yg salah baca berita atau apa ya haha,positive,0.99872166
iya green hydrogen baru beberapa negara yg make elektrolisis karena listrik mereka udah surplus pake pembangkit tenaga terbarukan,neutral,0.9925895
iya kebetulan penguasa otomatif diindo si jepang jadi mantap dah full electric vehicle banyak resikonya msh worth it ngembangin hidrogen,negative,0.96161324
jadi gini awalnya eropa jepang n amerika kampanye mobil listrik bagus trs datang cina unggul dr mereka jadi mereka ketar ketir dong makanya dikompanye kan lah mobil listrik gini gitu udah dijelasin sma fitra eri di chanel raditiya dika,positive,0.994115
jadi sebetulnya mobil electric vehicle atau pun lu pakai kompor listrik yg ramah lingkungan pemusatan dampak lingkungam atau polusi terpusat lebih baik kah,neutral,0.9151729
jadi terbuka wawasan terkait mobil listrik ternyata tidak seindah yg di promosikan d,negative,0.8847562
jika mobil listrik perusak lingkungan bgm dengan ponsel dan laptop,positive,0.97937334
kalau hidrogen hasil elektrolisis berapa kwh listrik yg dipakai menghasilkan kg hidrogen kenapa ga simpan aja listriknya ke baterai ngerti kan kenapa teknologi hidrogen belum mainstream,neutral,0.9636479
kalau mobil listrik semakin banyak artinya bengkel semakin kurang kerjaan jadi ya di buatlah hoax mobil listrik merusak bumi,positive,0.9990107
kalau mobil listrik yg akan kaya pengusaha pembangkit listrik,neutral,0.5326006
kalau nga ada mobil listrik apbn kita akan rugi garagara kasih bantuan pemerintah bahan bakar minyak ke loe pada ingat ya bahan bakar minyak kita itu import yg berarti uang kita lari ke luar negeri walaupun saya tau masih banyak kekurangan di mobil listrik terutama di baterai nya tapi dengan dengan penelitian baterai yg terus di lakukan kemungkinan kelemahan itu bisa terus di perbaikan,positive,0.9982315
kalo kalian ke ciputat tangerang selatan bekas carefour ciputat ada banyak mobil byd diparkir di situ berbulanbulan lamanya tanpa atap apaapa panas terik ujanan tempat parkirnya jg ga layak lah untuk ukuran mobil mewah dulu saya kira itu mobil bekas pas tanya tukang nasi goreng di depannya ternyata mobil baru semua baru bulan ini mereka lagi ngebangun sepertinya jadi kantor byd dulu mah bener bekas carefour kosong ditaro gitu aja pertanyaan saya dari video katanya mobil listrik cycling trs baterai kalo yg kasus dijemur berbulanbulan gini berarti baterainya dicopot dulu ya,positive,0.9986841
