date,authordisplayname,textdisplay,likecount,clean_textdisplay,label,confidence,status,Column 1,Column 2,Column 3,Column 4
2025-11-01 17:51:56+00:00,@Adin-pi5wr,"Wow, kalo nga salah Galant VR4 ini produksi tahun 80an? Inovasi awal hinggalah lahirnya teknologi/sistem Mivec seterusnya Mitsubishi Evo 1 - 10",0,wow kalo nga salah galant vr ini produksi tahun an inovasi awal hinggalah lahirnya teknologisistem mivec seterusnya mitsubishi evo,Netral,0.86,ok,,,,
2025-10-27 04:03:26+00:00,@AntonWibisono86,"Ya mungkin menurut anda Lithium itu bukan mineral Langka. Tapi yang disorot Koh Lung2 ini dari 1 Ton, cuma dapat 6 kg Lithium. <br>Mungkin kalau mineral lain, lebih langka dari itu, Tapi tetap aja dari 1 Ton, cuma dapat 6 kg, sedangkan 1 mobil ev membutuhkan 300 kg.<br>Itu yang disorot.",5,ya mungkin menurut anda lithium itu bukan mineral langka tapi yang disorot koh lung ini dari ton cuma dapat kg lithium brmungkin kalau mineral lain lebih langka dari itu tapi tetap aja dari ton cuma dapat kg sedangkan mobil electric vehicle membutuhkan kgbritu yang disorot,Netral,0.78,ok,,,,
2025-10-25 20:16:45+00:00,@RahardyanSurya,"Yg dibahas cara pembuatan baterai(penyimpan daya listrik) pak. Satu baterai mobil listrik tidak cukup menghabiskan 1 ton tanah ygmana 1 ton tsb cuma bisa diambil lithiumnya cuma ±6kg sedangkan 1 mobil butuh 300kg lithium. Itu pak poinnya. Menit <a href=""https://www.youtube.com/watch?v=0Hq5h0yh58Y&amp;t=608"">10:08</a>.",0,yg dibahas cara pembuatan bateraipenyimpan daya listrik pak satu baterai mobil listrik tidak cukup menghabiskan ton tanah ygmana ton tsb cuma bisa diambil lithiumnya cuma kg sedangkan mobil butuh kg lithium itu pak poinnya menit a href,Netral,0.78,ok,,,,
2025-10-29 13:35:04+00:00,@Bomerzz,"​​@iamacat9658 yg hydrogen tambahan pak. 😂 Iya betul itu kalo charge EV sumber listriknya dari pembangkit batubara juga emisi. Tapi dengan atau tanpa EV kondisi indonesia saat ini memang mayoritas pembangkitnya batubara bukan? Dan dipakai atau tidak listriknya, PLN akan tetap jalan dengan batubara nya  😅 <br>EV ketika &quot;jalan&quot; itu kan nol emisi, sedangkan ICE ada emisi gas buang (makanya #1 di poin saya itu).<br>Andaikan indonesia lebih mengedepankan pembangunan pembangkit energy terbarukan. Kaya panas bumi, atau energy matahari. 🤔",1,yg hydrogen tambahan pak iya betul itu kalo mengisi daya electric vehicle sumber listriknya dari pembangkit batubara juga emisi tapi dengan atau tanpa electric vehicle kondisi indonesia saat ini memang mayoritas pembangkitnya batubara bukan dan dipakai atau tidak listriknya pln akan tetap jalan dengan batubara nya brev ketika quotjalanquot itu kan nol emisi sedangkan ice ada emisi gas buang makanya di poin saya itubrandaikan indonesia lebih mengedepankan pembangunan pembangkit energi terbarukan kaya panas bumi atau energi matahari,Netral,0.86,ok,,,,
2026-04-03 03:50:41+00:00,@m.irfan-7069,"Pajak mobil listrik ini masih dikasih insentif, kalau udah disamain mobil lain beda lagi pasti itungannya",0,pajak mobil listrik ini masih dikasih insentif kalau udah disamain mobil lain beda lagi pasti itungannya,Netral,0.78,ok,,,,
2026-03-31 14:54:55+00:00,@SeruputTech,"hmmmâ€¦ btw mobil listrik yang dibahas di video ini pakai baterai LFP, yang memang gak pakai nikel ðŸ‘<br><br>jadi sebenernya gak semua baterai di mobil listrik bergantung ke nikel juga.<br><br>biar sebagian besar nikelnya tetap bisa dipakai buat bikin alat masak ajaâ€¦ hehe ðŸ˜„",1,hmm btw mobil listrik yang dibahas di video ini pakai baterai lfp yang memang gak pakai nikel brbrjadi sebenernya gak semua baterai di mobil listrik bergantung ke nikel jugabrbrbiar sebagian besar nikelnya tetap bisa dipakai buat bikin alat masak aja hehe,Netral,0.92,ok,,,,
2026-03-29 04:43:53+00:00,@leeethea2292,Mobil listrik setelah 10 tahun bisa jadi baterai listrik PLTS untuk 10 thun kedepan lagi untuk menghandle sebagian energi mobil listrik yng baruðŸ‘,1,mobil listrik setelah tahun bisa jadi baterai listrik plts untuk thun kedepan lagi untuk menghandle sebagian energi mobil listrik yng baru,Netral,0.78,ok,,,,
2026-03-20 07:44:30+00:00,@Dbgrvlog,"Namanya baterai ada cycle mas, klo cas belom 3000 cycle ga akan drop di bawah 50% kapasitasnya.<br>Jika pemakaian setahun 20K KM, maka secara teori cycle dia mampu tahan 30 sampai 40 tahun mas, lagian batrai ev byd itu modular, yg diganti yg rusak aja.",0,namanya baterai ada cycle mas klo mengisi daya belom cycle ga akan drop di bawah kapasitasnyabrjika pemakaian setahun k km maka secara teori cycle dia mampu tahan sampai tahun mas lagian baterai electric vehicle byd itu modular yg diganti yg rusak aja,Netral,0.86,ok,,,,
2026-02-26 03:23:37+00:00,@RaydenWijaya,"Kalau udah punya mobil 1, get an EV. Kalau belum ambil Hybrid.",0,kalau udah punya mobil get an electric vehicle kalau belum ambil mobil hybrid,Netral,0.84,ok,,,,
2026-02-15 04:08:50+00:00,@karmasamsara-j6n,bang lopa biaya abodement pln untuk wall charger 7kw.. itu sbulan bisa 500an,0,bang lopa biaya abodement pln untuk wall charger kw itu sbulan bisa an,Netral,0.86,ok,,,,
2026-02-15 14:35:39+00:00,@SeruputTech,"meteran sekarang kan sistem prabayar/token, gak ada abodemen lagi...dirumah udah pasang 7700VA buat charging setahun lebih sih gak pernah ditagih bayar abodement....hehe",1,meteran sekarang kan sistem prabayartoken gak ada abodemen lagidirumah udah pasang va buat charging setahun lebih sih gak pernah ditagih bayar abodementhehe,Netral,0.86,ok,,,,
2026-02-14 03:37:00+00:00,@suwirwong,"Jgn lupa jakarta ada ganjil genap,kl beli brio harus 2 unit kl mau pake stiap hari",0,jgn lupa jakarta ada ganjil genapkl beli brio harus unit kl mau pake stiap hari,Netral,0.86,ok,,,,
2026-02-13 11:55:17+00:00,@MuhammadRizki-mb5js,bikin byd atto vs vinvast f3,0,bikin byd atto vs vinvast f,Netral,0.86,ok,,,,
